営業部（営業課）,,リミット,,,,,,
等級,給料額,一般,副主任,主任,係長,課長,次長,部長
176,512500,,,,,,○,○
177,514000,,,,,,○,○
178,515500,,,,,,○,○
179,517000,,,,,,○,○
180,518500,,,,,,○,○
181,520000,,,,,,○,○
182,521500,,,,,,○,○
183,523000,,,,,,○,○
184,524500,,,,,,○,○
185,526000,,,,,,○,○
186,527500,,,,,,○,○
187,529000,,,,,,○,○
188,530500,,,,,,○,○
189,532000,,,,,,○,○
190,533500,,,,,,○,○
191,535000,,,,,,○,○
192,536500,,,,,,○,○
193,538000,,,,,,○,○
194,539500,,,,,,○,○
195,541000,,,,,,○,○
196,542500,,,,,,○,○
197,544000,,,,,,○,○
198,545500,,,,,,○,○
199,547000,,,,,,○,○
200,548500,,,,,,○,○
